Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
1788778,Site-Family Name-Bike,True,True,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
3848791,Floors-SURV,True,True,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
8193480,GM-Brick Setting Out,True,False,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
8571162,Chimney,True,True,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
8680840,GM-Roof Plant Annotation,True,True,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
8775803,GM-Riser,True,False,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
10153886,GM-Lobby_Cad_Pattern,True,False,View Template,Plan-GA-1_1000,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,FloorPlan,"ZZ-00001-1_Sitewide, Existing Plan",False,Plan-GA-1_500_Existing_Phase 1B+2,ZZ-00001 - Existing Site Plan - 1
1788778,Site-Family Name-Bike,True,False,FloorPlan,"ZZ-00001-1_Sitewide, Existing Plan",False,Plan-GA-1_500_Existing_Phase 1B+2,ZZ-00001 - Existing Site Plan - 1
11845451,Property Lines-Demolition Plan,True,False,FloorPlan,"ZZ-00001-1_Sitewide, Existing Plan",False,Plan-GA-1_500_Existing_Phase 1B+2,ZZ-00001 - Existing Site Plan - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,View Template,Plan-GA-1_1000_Existing,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan-GA-1_1000_Existing,True,N/A,Not in a sheet
11845451,Property Lines-Demolition Plan,True,False,View Template,Plan-GA-1_1000_Existing,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-Proposed Tree Plan,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan-Proposed Tree Plan,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,View Template,Plan-Proposed Tree Plan,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan_Existing Tree Plan,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan_Existing Tree Plan,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,False,View Template,Plan_Existing Tree Plan,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-Existing-GA-1_200,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan-Existing-GA-1_200,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-Existing_Material-GA-1_200,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan-Existing_Material-GA-1_200,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-Setting Out Export,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,Plan-Setting Out Export,True,N/A,Not in a sheet
